,Aging,Cash_Flow_Prediction_week_1,Cash_Flow_Prediction_week_2,Cash_Flow_Prediction_week_3,Cash_Flow_Prediction_week_4,Demand_Forecast,Demand_Forecast_week_1,Demand_Forecast_week_2,Demand_Forecast_week_3,Demand_Forecast_week_4,Material,Order_Quantity,Plant,Stock,Stock_Value,Material Name
55,No Risk,4757.0,4263.0,3707.0,3460.0,288.0,84.0,76.0,66.0,62.0,10-0000105,173.0,Hyderabad East,145.0,515913.0,NASIVION NASAL  DROPS (PED)  0.025% 10ML
56,No Risk,440.0,367.0,294.0,220.0,26.0,8.0,7.0,6.0,5.0,10-0000106,9.0,Hyderabad East,19.0,20624.0,NASIVION NASAL DROPS(ADULT)0.05%10ML
57,<3 Months,3350.0,3423.0,3546.0,3595.0,589.0,142.0,145.0,150.0,152.0,10-0000107,284.0,Hyderabad East,333.0,416734.0,NASOCLEAR NASAL DROPS
58,No Risk,0.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0,1.0,10-0000108,12.0,Hyderabad East,0.0,60112.0,NEOPEPTINE DROPS 15 ML
60,No Risk,1468.0,1468.0,1468.0,1370.0,65.0,16.0,17.0,16.0,16.0,10-0000113,5.0,Hyderabad East,64.0,148963.0,OROFER -XT DROPS 10MG 15ML
61,No Risk,141.0,141.0,141.0,94.0,18.0,4.0,5.0,5.0,4.0,10-0000114,9.0,Hyderabad East,10.0,11218.0,OTEK - AC EAR DROPS 5 ML
62,No Risk,1166.0,907.0,778.0,1037.0,38.0,11.0,9.0,8.0,10.0,10-0000117,30.0,Hyderabad East,10.0,76827.0,OTOGESIC EAR DROPS 10 ML
64,No Risk,0.0,73.0,147.0,293.0,11.0,1.0,2.0,3.0,5.0,10-0000120,19.0,Hyderabad East,0.0,73298.0,OTRINOZ-OTRIVIN MOIST (P) 0.05% DROPS
66,<3 Months,383.0,353.0,294.0,265.0,52.0,15.0,14.0,12.0,11.0,10-0000122,11.0,Hyderabad East,49.0,10812.0,OTRIVIN NASAL DROPS PEAD 0.05 % 10 ML
67,No Risk,3737.0,3114.0,4983.0,3426.0,65.0,16.0,14.0,20.0,15.0,10-0000124,49.0,Hyderabad East,21.0,167609.0,PATADAY 0.2% EYE DROPS 2.5 ML
69,No Risk,1441.0,1750.0,2367.0,1853.0,87.0,18.0,20.0,27.0,22.0,10-0000126,46.0,Hyderabad East,47.0,108265.0,REFRESH TEARS EYE DROPS 0.5 % 10 ML
71,No Risk,73.0,73.0,73.0,73.0,8.0,2.0,2.0,2.0,2.0,10-0000128,6.0,Hyderabad East,3.0,5342.0,SINAREST DROPS 15 ML
72,<3 Months,2755.0,2893.0,2962.0,3100.0,192.0,44.0,47.0,49.0,52.0,10-0000129,25.0,Hyderabad East,174.0,300406.0,SPORIDEX DROPS 100MG 10 ML
76,No Risk,457.0,514.0,399.0,457.0,40.0,10.0,11.0,9.0,10.0,10-0000133,18.0,Hyderabad East,25.0,24938.0,TOBACIN EYE DROPS 0.3 % 5 ML
77,No Risk,1244.0,1175.0,1313.0,1451.0,87.0,21.0,20.0,22.0,24.0,10-0000134,11.0,Hyderabad East,86.0,144258.0,TONOFERON DROPS 15 ML
78,No Risk,1932.0,1388.0,1569.0,1328.0,119.0,37.0,26.0,30.0,26.0,10-0000135,68.0,Hyderabad East,60.0,121574.0,TRIFER DROPS 25 MG 15ML
79,No Risk,42.0,42.0,42.0,42.0,8.0,2.0,2.0,2.0,2.0,10-0000137,4.0,Hyderabad East,5.0,3080.0,VI-SYNERAL DROPS 15 ML
80,No Risk,48.0,96.0,48.0,96.0,13.0,2.0,4.0,3.0,4.0,10-0000138,4.0,Hyderabad East,10.0,7767.0,VI SYNERAL Z DROPS  15 ML
81,No Risk,80.0,134.0,107.0,107.0,21.0,4.0,6.0,5.0,6.0,10-0000140,1.0,Hyderabad East,23.0,13817.0,VITCOFOL  DROPS 15 ML
83,No Risk,407.0,407.0,489.0,570.0,30.0,6.0,7.0,8.0,9.0,10-0000143,14.0,Hyderabad East,21.0,43584.0,ZYTEE DROPS (10ML)
85,<3 Months,4726.0,4611.0,4554.0,4468.0,679.0,174.0,170.0,169.0,166.0,10-0000145,566.0,Hyderabad East,152.0,33136.0,NS 3%  100 ML BOTTLE
93,<3 Months,956.0,900.0,844.0,788.0,330.0,90.0,85.0,80.0,75.0,10-0000165,11.0,Hyderabad East,351.0,3816.0,DEXTROSE IV 25 % 100 ML BOTTLE
99,<3 Months,4140.0,3976.0,4201.0,4017.0,4350.0,1100.0,1060.0,1120.0,1070.0,10-0000181,1803.0,Hyderabad East,2617.0,9598.0,NS IV 10 ML AMPULE
103,3+ Months,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10-0000187,45.0,Hyderabad East,19.0,144.0,NS IV 500ML BOTTLE
109,<3 Months,13950.0,14647.0,15112.0,14415.0,1395.0,335.0,350.0,360.0,350.0,10-0000200,891.0,Hyderabad East,642.0,603.0,RL IV 500 ML BAG
111,<3 Months,22832.0,13820.0,9013.0,7811.0,105.0,42.0,27.0,19.0,17.0,10-0000206,92.0,Hyderabad East,26.0,98126.0,CETROLIX  0.25 MG PREFIL  1 ML
115,<3 Months,12714.0,6357.0,12714.0,6357.0,10.0,3.0,2.0,3.0,2.0,10-0000218,9.0,Hyderabad East,2.0,480753.0,LUPRIDE DEPOT 11.25 MG INJ
118,<3 Months,11171.0,7979.0,9575.0,12767.0,34.0,9.0,7.0,8.0,10.0,10-0000224,24.0,Hyderabad East,13.0,12694.0,OVITRELLE 250 MCG 0.5ML INJ
121,No Risk,2493.0,2182.0,2182.0,2493.0,38.0,10.0,9.0,9.0,10.0,10-0000233,25.0,Hyderabad East,15.0,195591.0,BUDECORT 200 MCG INHALER
124,No Risk,5078.0,4760.0,5078.0,4443.0,77.0,19.0,19.0,20.0,19.0,10-0000238,39.0,Hyderabad East,41.0,474641.0,FLOMIST 50 MCG NASAL SPRAY
125,No Risk,2784.0,2939.0,2629.0,2784.0,88.0,22.0,23.0,21.0,22.0,10-0000239,50.0,Hyderabad East,45.0,267206.0,FORACORT 100 MCG INHALER
126,No Risk,4088.0,3918.0,3748.0,3577.0,110.0,29.0,28.0,27.0,26.0,10-0000241,66.0,Hyderabad East,50.0,393914.0,LEVOLIN 50 MCG 200 MD INHALER
128,No Risk,12035.0,13129.0,14223.0,15317.0,170.0,38.0,41.0,44.0,47.0,10-0000244,108.0,Hyderabad East,70.0,1112153.0,METASPRAY 50MCG 10 ML SPRAY
130,No Risk,4286.0,4715.0,4286.0,4286.0,51.0,13.0,14.0,12.0,12.0,10-0000248,33.0,Hyderabad East,30.0,435564.0,NASONEX- NASAL SPRAY 50MCG
134,No Risk,2529.0,2890.0,3613.0,3974.0,44.0,9.0,10.0,12.0,13.0,10-0000254,29.0,Hyderabad East,19.0,269200.0,SOLSPRE 100 ML  NASAL SPRAY
139,No Risk,0.0,58.0,0.0,0.0,5.0,1.0,2.0,1.0,1.0,10-0000267,10.0,Hyderabad East,5.0,44005.0,ADVENT INJ VAIL1.2GM
140,<3 Months,56357.0,60382.0,64408.0,60382.0,68.0,16.0,17.0,18.0,17.0,10-0000272,52.0,Hyderabad East,20.0,4263441.0,ALBUREL 20% INFUSION VIAL 100 ML
142,<3 Months,27000.0,32400.0,37800.0,37800.0,36.0,7.0,9.0,10.0,10.0,10-0000277,25.0,Hyderabad East,16.0,2170800.0,AMBISOME INJ 50 MG
143,No Risk,91.0,71.0,51.0,30.0,71.0,24.0,20.0,16.0,11.0,10-0000288,2.0,Hyderabad East,80.0,5548.0,AMINOPHYLLINE INJ25MG10ML
145,<3 Months,8146.0,8961.0,9368.0,9775.0,104.0,23.0,26.0,27.0,28.0,10-0000290,79.0,Hyderabad East,30.0,1052968.0,AMINOVEN INFANT SOLUTION10%100ML
146,<3 Months,22383.0,25069.0,18801.0,16115.0,115.0,30.0,34.0,27.0,24.0,10-0000292,97.0,Hyderabad East,30.0,805640.0,AMPHOMUL INJ 50MG10ML
147,No Risk,1987.0,1872.0,1948.0,1757.0,222.0,58.0,55.0,57.0,52.0,10-0000296,91.0,Hyderabad East,137.0,215826.0,ANAWIN INJ VIAL 0.25% 20 ML
149,<3 Months,325.0,286.0,267.0,267.0,69.0,19.0,18.0,16.0,16.0,10-0000298,53.0,Hyderabad East,27.0,36894.0,ANAWIN HEAVY 5 MG INJ 4 ML
150,No Risk,115.0,191.0,153.0,115.0,19.0,4.0,6.0,5.0,4.0,10-0000303,1.0,Hyderabad East,20.0,9328.0,ARACHITOL VIT-D3 INJ 3 LAK 7.5 MG 1ML
154,<3 Months,392.0,415.0,438.0,452.0,408.0,95.0,100.0,105.0,108.0,10-0000314,194.0,Hyderabad East,225.0,37541.0,AVIL INJ 22.75 MG 2 ML
158,<3 Months,5280.0,4447.0,3891.0,5558.0,77.0,21.0,18.0,16.0,22.0,10-0000335,66.0,Hyderabad East,16.0,228730.0,BIOTREXATE INJ 500 MG
159,<3 Months,360.0,360.0,300.0,300.0,27.0,8.0,7.0,6.0,6.0,10-0000336,21.0,Hyderabad East,12.0,37428.0,BIOVORIN 50 MG INJ 1ML (LEUCOVORIN)
164,<3 Months,5905.0,6201.0,6496.0,6791.0,102.0,24.0,25.0,26.0,27.0,10-0000348,79.0,Hyderabad East,28.0,982605.0,CAFIRATE INJ VIAL 20 MG 3 ML
165,<3 Months,401.0,422.0,443.0,464.0,470.0,110.0,115.0,120.0,125.0,10-0000349,189.0,Hyderabad East,327.0,50740.0,CALCIUM GLUCONATEINJ10ML-SWISSCRITICURE
166,<3 Months,2425.0,2528.0,2631.0,2683.0,224.0,52.0,55.0,58.0,59.0,10-0000353,117.0,Hyderabad East,113.0,250627.0,CAPRIN  INJ VIAL 5000 IU 5 ML
168,<3 Months,1544.0,1600.0,1656.0,1722.0,655.0,153.0,160.0,167.0,175.0,10-0000359,338.0,Hyderabad East,346.0,54724.0,CATH FLUSH INJ 10 IU 2ML
177,<3 Months,2750.0,2365.0,2035.0,2475.0,195.0,55.0,48.0,42.0,50.0,10-0000390,181.0,Hyderabad East,26.0,87958.0,CYTALON INJ VIAL 100 MG 1 ML
179,<3 Months,321.0,160.0,160.0,160.0,9.0,3.0,2.0,2.0,2.0,10-0000396,1.0,Hyderabad East,10.0,3985.0,DACILON  INJ AMP 0.5 MG
180,<3 Months,705.0,804.0,973.0,697.0,449.0,99.0,113.0,136.0,101.0,10-0000403,316.0,Hyderabad East,153.0,50582.0,DEXAMETHASONE INJ 2 ML
184,No Risk,2293.0,2179.0,2408.0,2236.0,204.0,51.0,48.0,54.0,51.0,10-0000410,163.0,Hyderabad East,50.0,186359.0,DEXTOMID INJ AMP 100 MCG 1 ML
187,<3 Months,22.0,11.0,22.0,22.0,16.0,4.0,3.0,4.0,5.0,10-0000415,8.0,Hyderabad East,13.0,2544.0,DOMIN INJ 200 MG 5 ML
190,No Risk,416.0,489.0,391.0,465.0,84.0,20.0,23.0,19.0,22.0,10-0000419,55.0,Hyderabad East,32.0,19910.0,DROTIN INJ 40 MG 2 ML
192,<3 Months,0.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0,1.0,10-0000421,14.0,Hyderabad East,0.0,4950.0,DUXOCIN INJ VIAL 10 MG 5ML
195,<3 Months,0.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0,1.0,10-0000430,6.0,Hyderabad East,0.0,16121.0,ENCORATE INJ 500 MG
198,No Risk,200.0,31.0,0.0,0.0,38.0,30.0,8.0,0.0,0.0,10-0000440,6.0,Hyderabad East,43.0,2864.0,EPSOLIN INJ 50 MG 2 ML
199,<3 Months,1805.0,1659.0,1580.0,1460.0,1089.0,299.0,277.0,268.0,245.0,10-0000442,541.0,Hyderabad East,577.0,130667.0,EVATOCIN  (OXYTOCIN) INJ  5 IU 1 ML
200,No Risk,471.0,423.0,374.0,341.0,117.0,34.0,31.0,27.0,25.0,10-0000445,25.0,Hyderabad East,98.0,16709.0,FENOBARB INJ 200 MG 1ML
206,<3 Months,55.0,82.0,110.0,96.0,41.0,8.0,10.0,12.0,11.0,10-0000469,122.0,Hyderabad East,29.0,78497.0,HEPLOCK (HEPARIN ) INJ 2 ML
207,No Risk,285.0,285.0,143.0,285.0,11.0,3.0,3.0,2.0,3.0,10-0000471,4.0,Hyderabad East,10.0,36680.0,HUMAN ACTRAPID INJ 40 IU 10 ML
220,No Risk,377.0,339.0,302.0,264.0,42.0,12.0,11.0,10.0,9.0,10-0000501,8.0,Hyderabad East,42.0,25099.0,KIPINEX FORTE INJ 1.5 GM
223,No Risk,441.0,466.0,490.0,527.0,181.0,42.0,44.0,46.0,49.0,10-0000520,96.0,Hyderabad East,100.0,27240.0,LOPEZ  INJ 2 MG 2 ML
224,No Risk,438.0,378.0,338.0,477.0,90.0,24.0,21.0,19.0,26.0,10-0000522,77.0,Hyderabad East,32.0,22799.0,LOX WITH ADRENALINE INJ 2 % 30 ML
225,<3 Months,989.0,921.0,853.0,904.0,225.0,60.0,57.0,52.0,56.0,10-0000523,154.0,Hyderabad East,82.0,53663.0,LOX INJ 2 % 30 ML
226,<3 Months,1002.0,902.0,802.0,735.0,111.0,32.0,29.0,26.0,24.0,10-0000524,40.0,Hyderabad East,76.0,74729.0,LOXICARD INJ  2% 50 ML
231,No Risk,574.0,698.0,677.0,615.0,143.0,32.0,39.0,37.0,35.0,10-0000544,102.0,Hyderabad East,54.0,61199.0,MESNA IV INJ 200MG
233,<3 Months,1015.0,1269.0,1692.0,2031.0,93.0,17.0,20.0,26.0,30.0,10-0000547,70.0,Hyderabad East,56.0,426540.0,METHYCOBAL INJ 500 MCG 2 ML
235,No Risk,1497.0,1463.0,1429.0,1394.0,530.0,137.0,134.0,131.0,128.0,10-0000550,328.0,Hyderabad East,247.0,71776.0,MEZOLAM INJ 5 MG 5 ML
239,<3 Months,690.0,719.0,777.0,748.0,118.0,28.0,29.0,31.0,30.0,10-0000562,59.0,Hyderabad East,64.0,64197.0,MYOPYROLATE-INJ-5ML
240,<3 Months,185.0,201.0,221.0,213.0,223.0,50.0,55.0,60.0,58.0,10-0000563,150.0,Hyderabad East,86.0,14070.0,MYOSTIGMIN INJ 1ML
241,<3 Months,11704.0,15215.0,12874.0,10534.0,51.0,12.0,15.0,13.0,11.0,10-0000565,30.0,Hyderabad East,32.0,953012.0,NATCLOVIR INJ  VIAL 500 MG 10 ML
243,No Risk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10-0000571,31.0,Hyderabad East,0.0,74324.0,NEOCURON INJ AMP 4 MG 2 ML
249,No Risk,249.0,219.0,179.0,159.0,109.0,30.0,29.0,26.0,24.0,10-0000592,4.0,Hyderabad East,132.0,13235.0,NORAD INJ 2 MG 2 ML
253,No Risk,14000.0,14700.0,14000.0,15400.0,103.0,25.0,26.0,25.0,27.0,10-0000613,62.0,Hyderabad East,45.0,1096900.0,Omnipaque 300 Mg/50 Ml Inj
254,<3 Months,31.0,47.0,16.0,31.0,16.0,4.0,5.0,3.0,4.0,10-0000619,9.0,Hyderabad East,9.0,2990.0,PAPARIN  INJ 30 MG 2 ML
258,<3 Months,780.0,709.0,709.0,638.0,42.0,11.0,11.0,10.0,10.0,10-0000626,10.0,Hyderabad East,34.0,109539.0,PHENPRES INJ 10 MG 1ML
260,No Risk,358.0,358.0,358.0,298.0,32.0,7.0,9.0,8.0,8.0,10-0000631,14.0,Hyderabad East,21.0,49240.0,POTPHOS INJ VIAL 15 ML
262,No Risk,2397.0,2568.0,2739.0,2568.0,65.0,15.0,17.0,17.0,16.0,10-0000634,34.0,Hyderabad East,34.0,254674.0,PROLUTON DEPOT INJ 500 MG  2 ML
264,<3 Months,6187.0,2062.0,0.0,5156.0,20.0,8.0,4.0,1.0,7.0,10-0000638,13.0,Hyderabad East,19.0,332920.0,PULMOSIL INJ VIAL 0.8 MG 12.5 ML
266,No Risk,18.0,26.0,35.0,47.0,70.0,10.0,15.0,20.0,25.0,10-0000643,56.0,Hyderabad East,23.0,1148.0,RANTAC INJ AMP 50 MG 2 ML
267,<3 Months,34200.0,23400.0,19800.0,25200.0,65.0,21.0,15.0,13.0,16.0,10-0000645,51.0,Hyderabad East,22.0,115200.0,REDITUX  INJ VIAL 100 MG 10 ML
271,<3 Months,8407.0,9248.0,10089.0,10404.0,379.0,84.0,92.0,100.0,103.0,10-0000658,84.0,Hyderabad East,315.0,611802.0,ROCUNIUM INJ 50 MG  5 ML
273,<3 Months,540.0,599.0,641.0,675.0,636.0,141.0,154.0,166.0,175.0,10-0000666,270.0,Hyderabad East,383.0,48528.0,SODIUM BI CARBONATE INJ 10 ML
277,<3 Months,370.0,393.0,404.0,393.0,147.0,34.0,37.0,39.0,37.0,10-0000684,112.0,Hyderabad East,60.0,18292.0,BETT (T.T) INJ  VACCINE 0.5 ML
278,<3 Months,2783.0,2672.0,3006.0,3228.0,600.0,140.0,140.0,155.0,165.0,10-0000687,383.0,Hyderabad East,234.0,166490.0,TAXIM INJ 1 GM
283,<3 Months,2305.0,2593.0,2017.0,1729.0,190.0,50.0,55.0,45.0,40.0,10-0000703,51.0,Hyderabad East,163.0,188902.0,TOCIN INJ VIAL 80 MG 2 ML
285,<3 Months,732.0,732.0,732.0,732.0,20.0,5.0,5.0,5.0,5.0,10-0000715,10.0,Hyderabad East,13.0,40852.0,UNIBLASTIN INJ VIAL 10 MG 10 ML
288,<3 Months,0.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0,1.0,10-0000720,5.0,Hyderabad East,0.0,21865.0,UROGRAFIN INJ AMP 76 % 20 ML
292,<3 Months,525.0,225.0,300.0,487.0,57.0,18.0,10.0,12.0,17.0,10-0000731,44.0,Hyderabad East,19.0,22390.0,VPRESS INJ 20 IU 1 ML
293,No Risk,2508.0,2601.0,2508.0,2415.0,134.0,33.0,34.0,35.0,32.0,10-0000738,104.0,Hyderabad East,43.0,321917.0,XYLISTIN INJ 1MIU 10 ML
295,No Risk,3344.0,3601.0,3215.0,3472.0,126.0,31.0,33.0,30.0,32.0,10-0000746,88.0,Hyderabad East,53.0,129856.0,BOTROCLOT TROPICAL SOLUTION  10 ML
297,No Risk,162.0,108.0,162.0,108.0,14.0,4.0,3.0,4.0,3.0,10-0000748,4.0,Hyderabad East,12.0,13346.0,CALADRYL  LOTION 60ML
298,No Risk,478.0,478.0,318.0,318.0,16.0,5.0,4.0,4.0,3.0,10-0000749,14.0,Hyderabad East,7.0,114900.0,CALOSOFT-AF  LOTION 100 ML
300,No Risk,0.0,230.0,460.0,690.0,9.0,0.0,2.0,3.0,4.0,10-0000752,11.0,Hyderabad East,0.0,42703.0,CETAPHIL CLEANSING  LOTION 125ML
301,No Risk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10-0000753,10.0,Hyderabad East,0.0,293260.0,CETAPHIL MOISTURISING LOTION 100 ML
302,No Risk,342.0,513.0,513.0,684.0,18.0,3.0,4.0,5.0,6.0,10-0000754,8.0,Hyderabad East,11.0,32987.0,DESOWEN  LOTION 0.05% 30 ML
306,No Risk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10-0000776,6.0,Hyderabad East,1.0,17741.0,BETADINE OINT 15 GMS
307,No Risk,542.0,578.0,614.0,578.0,75.0,17.0,19.0,20.0,19.0,10-0000777,38.0,Hyderabad East,40.0,39841.0,BETAMIL -GM CREAM 25 GM
310,No Risk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10-0000782,3.0,Hyderabad East,0.0,31523.0,CANDID CREAM 30 GMS
311,No Risk,640.0,640.0,731.0,731.0,38.0,8.0,10.0,10.0,10.0,10-0000783,7.0,Hyderabad East,33.0,66032.0,CANDID -B CREAM 20 GMS
317,No Risk,0.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0,1.0,10-0000790,6.0,Hyderabad East,0.0,109210.0,CONTRACTUBEX GEL 20 GM
318,No Risk,807.0,484.0,484.0,646.0,20.0,6.0,5.0,4.0,5.0,10-0000791,7.0,Hyderabad East,16.0,30908.0,DESOWEN OINT 0.05% 10 GM
323,No Risk,713.0,713.0,713.0,793.0,42.0,11.0,10.0,10.0,11.0,10-0000800,18.0,Hyderabad East,27.0,45133.0,EUMOSONE OINT 15GM
328,No Risk,381.0,191.0,254.0,318.0,26.0,8.0,5.0,6.0,7.0,10-0000809,26.0,Hyderabad East,2.0,12873.0,FUCIBET CREAM  15 GM
331,No Risk,373.0,187.0,373.0,373.0,11.0,3.0,2.0,3.0,3.0,10-0000812,4.0,Hyderabad East,9.0,44913.0,FUCIDIN-H  CREAM 15 GM
336,<3 Months,2517.0,2449.0,2363.0,2397.0,598.0,154.0,150.0,146.0,148.0,10-0000820,480.0,Hyderabad East,146.0,121016.0,LOX 2% JELLY 30 GM
337,No Risk,522.0,626.0,522.0,626.0,30.0,7.0,8.0,7.0,8.0,10-0000822,19.0,Hyderabad East,12.0,45298.0,LYCOR  CREAM 1% 15GM
344,No Risk,0.0,142.0,284.0,142.0,8.0,1.0,2.0,3.0,2.0,10-0000831,1.0,Hyderabad East,8.0,16069.0,PERLICE CREAM   1% 120 GM
360,No Risk,281.0,375.0,469.0,562.0,26.0,5.0,6.0,7.0,8.0,10-0000858,19.0,Hyderabad East,14.0,125093.0,THROMBOPHOB OINT 20 GM
361,No Risk,101.0,101.0,101.0,101.0,8.0,2.0,2.0,2.0,2.0,10-0000859,1.0,Hyderabad East,10.0,14850.0,VOLINI GEL 30 GM
364,No Risk,490.0,409.0,490.0,409.0,24.0,6.0,6.0,6.0,6.0,10-0000863,9.0,Hyderabad East,21.0,63332.0,ZYTEE  OINT 10 GM
366,No Risk,5934.0,6097.0,5802.0,5606.0,816.0,206.0,211.0,203.0,196.0,10-0000865,406.0,Hyderabad East,495.0,289137.0,ARG-9 SACHETS  5GM
368,<3 Months,6009.0,6199.0,6390.0,6580.0,1082.0,257.0,266.0,275.0,284.0,10-0000869,884.0,Hyderabad East,273.0,368032.0,CALCIROL SACHETS 60K 1 GM
369,No Risk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10-0000870,2.0,Hyderabad East,0.0,17477.0,CANDID DUSTING POWDER  1% 100 GM
371,No Risk,1376.0,1565.0,1687.0,1532.0,621.0,140.0,157.0,169.0,155.0,10-0000875,509.0,Hyderabad East,144.0,136014.0,DAROLAC SACHETS  2 GM
374,<3 Months,11106.0,11228.0,11351.0,11474.0,1550.0,380.0,385.0,390.0,395.0,10-0000881,1167.0,Hyderabad East,491.0,748119.0,ECONORM SACHET 250 MG
375,<3 Months,1226.0,1273.0,1203.0,1313.0,1601.0,390.0,406.0,386.0,419.0,10-0000882,1006.0,Hyderabad East,710.0,94123.0,ELECTRAL SACHETS  4.4 GM
380,No Risk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10-0000887,2.0,Hyderabad East,0.0,77573.0,ENSURE VANILLA  POWDER  400 GM
381,No Risk,4921.0,4374.0,4921.0,4647.0,81.0,21.0,19.0,21.0,20.0,10-0000888,50.0,Hyderabad East,35.0,553137.0,GALACT GRANULES ELAICHI POWDER 200 MG
382,No Risk,6800.0,8160.0,8613.0,7707.0,80.0,17.0,21.0,22.0,20.0,10-0000893,36.0,Hyderabad East,50.0,642977.0,ISOMIL SIMILAC INFANT FORMULA POW 400GM
383,No Risk,2248.0,1798.0,1349.0,899.0,72.0,24.0,20.0,16.0,12.0,10-0000894,26.0,Hyderabad East,51.0,84399.0,K BIND SACHETS 15 GM
